Пользователь,Дата,Комментарий,Рейтинг,Название заведения,Средняя оценка,Кол-во оценок
aidana rustam,18 апреля 2025,"красиво, атмосферно, интерьер ВАУ 😍 еда вкусная, в особенности понравилась пицца.

но обслуживание такое себе, не дотягивает даже до 4.",4,Bella Ciao,4.6,2042
Gulzhainar Serikkyzy,18 апреля 2025,"Ресторан әдемі, интерьері жақсы жасалған. Официанттары орыс тілді екен. Қазақша меню жоқ. Осыны жөндесеңіздер. Қазақстанда бизнес жасап жатырсыздар. Бізде орысша сөйлей алмайтын түсінбейтін адамдар да бар. Тамағына келсек қарнымыз аш болды. Тіл үйіретін керемет деп айта алмаймын.",3,Bella Ciao,4.6,2042
Abokagoi .,"18 апреля 2025, отредактирован",Был с девушкой ей понравилось. Да и ресторан такого формата это что то новое,5,Bella Ciao,4.6,2042
Ok,"17 апреля 2025, отредактирован","Вкусно, красиво, атмосферно, хорошее обслуживание от официанта Аслана.",5,Bella Ciao,4.6,2042
Асем Кожахмет,"17 апреля 2025, отредактирован",Красивый интерьер. Но обслуживание хромает 🤦🏻‍♀️,3,Bella Ciao,4.6,2042
Kira Yefimova,17 апреля 2025,"Понравилось само заведение но почти все официанты ходят недовольные , аж настроение после этого не было",4,Bella Ciao,4.6,2042
Lika I,16 апреля 2025,"Были сегодня в вашем «ресторане», заказали карбонару и какую-то куриную пасту, это какой-то ужас, макароны все слиплись, не проваренные, нифига не наелись, от итальянского только одно название ☹️
В качестве извинения за неудачный кулинарный шедевр дали одну тирамису на двоих 😂 спасибо, что хоть не половинку 🤣 хотя их тирамису нам не особо то и нужен был , просто если взялись извиняться, так сказать, надо сделать по-нормальному)
Дизайн странный, соглашусь с комментаторами)",1,Bella Ciao,4.6,2042
Kerbez Nurzhanovna,16 апреля 2025,"Өте дәмді болды , официант Мира ханымға көп көөөп рахмет , қызмет көрсету сапасы жоғары деңгейде , интерьері өте әдемі екен",5,Bella Ciao,4.6,2042
Bakytnur Sagynova,"16 апреля 2025, отредактирован","Были 9 апреля, муж бронировал столик чтобы отметить мой день рождения. Сами при принятие заказа спрашивали удостоверение и сказали что будут поздравлять. К сожалению не было ни поздравлений и ни обещанного пирога. В начале вечера официант подходил и спрашивал как у нас дела, а в конце так и никто не подошел, еле выпросили счет. Еда хорошая, а сервиса нет. От вечера остался неприятный осадок.",3,Bella Ciao,4.6,2042
V K,15 апреля 2025,"15.04.25 были у вас в первый раз, ещё и в день рождения. Пожалели очень очень сильно!!!
Забронировали заранее стол, пришли сели куда указала админ, мы попросили пересадить подальше , т.к. были свободные столы, хостес нам сказала НЕТ.
Позже когда мы уже кушали к нам подходит хостес и говорит, что не могли бы мы уйти с этого стола, т.к. другие гости хотят сюда сесть, в таком безапеляционном тоне ещё🤦‍♂️ Мы мягко говоря Офигели от такого заявления. То есть нам отказали пересесть, посадили куда пожелала админ (точно должность не знаю), а для других гостей они готовы нас спровадить!!!
Это вообще ШОК. Во многих ресторанах были, но с таким отношением сталкиваемся впервые. Ну если персонал накосячил с местами, то и решайте с пришедшими гостями этот вопрос, а не спроваживайте людей, которых вы сами же усадили по брони и которые уже кушают.
Первое впечатление, как и настроение испортили, ещё и в день рождения!",1,Bella Ciao,4.6,2042
Жанара Жанара,15 апреля 2025,Красивый интерьер! Но блюдо было не вкусным и пересоленный. Официант хороший 👍🏻 но хостес девушка грубая… 10 часов вечера зал пустой и говорит все столы на брони которое мы хотели присесть 😭,2,Bella Ciao,4.6,2042
Улдана Алибаева,"14 апреля 2025, отредактирован",Самый лучший заведение👍🏻Обслуживание на высшем уровне🔥🔥🔥,5,Bella Ciao,4.6,2042
B D,"14 апреля 2025, отредактирован",Все было очень вкусно 😍,5,Bella Ciao,4.6,2042
